Marca temporal,Puntuación,"¿Cuál es tu edad?
",¿Cuál es tu género?,¿Cuál es tu ocupación?,¿Cuál es el máximo nivel educativo que alcanzaste?,Los dinosaurios se extinguieron porque cayó un meteorito. ,"No percibimos ningún movimiento, por lo tanto la Tierra no se mueve.","Cuando pateamos un penal siempre hay que prestarle mucha atención al pie de apoyo: lo dice Messi, que es un especialista en esto. ","A diferencia de los planetas, las estrellas tienen luz propia.","El pasto es verde, así que los animales herbívoros seguramente se alimentan de él.",Jorge está ahorrando porque quiere irse de vacaciones. ,"Todos los metales se dilatan con el calor. El hierro se dilata con el calor, por lo tanto el hierro es un metal. ","El problema de los discursos anticientíficos es una preocupación urgente a nivel internacional, puesto que estudios en distintos países mostraron que cada vez más gente descree de las vacunas. ","No debemos vacunarnos contra el COVID-19 porque Lucía Langer, médica inmunóloga del Hospital Italiano, afirmó que esas vacunas tienen “hidróxido de grafeno” y “el grafeno se utiliza para controlar a la gente”. ","En Brasil se habla portugués, así que seguramente fue colonia portuguesa. ","Mi abuela siempre me dijo: el mate sin edulcorante, y las tortas fritas con azúcar.","El perro, el gato, la vaca, los ratones son mamíferos y tienen cuatro patas; por lo tanto, todos los mamíferos tenemos cuatro patas. ","El fútbol es pasión de multitudes; por lo tanto, seguramente se juega con una pelota redonda. ","Como Messi nació en Roma y Roma queda en Italia, Messi nació en Italia. ","1) El continente americano fue descubierto porque Colón buscaba una nueva vía hacia las Indias. Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna.",2)	El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN: la estructura fue elucidada porque Franklin era una gran cristalógrafa. ,"3) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados, porque Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo.",4) Como defensores de la vida y la libertad tenemos la obligación de decir esto: cientos de personas en todo el mundo murieron porque se les inoculó el veneno experimental de Soros y Bill Gates. Este veneno debería ser prohibido.,"5) Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo, así que tenemos que tratar de comer variado y de hacer mucho deporte.","6) El hierro, un elemento abundante en la corteza terrestre, es un metal, al igual que el cobre y la plata, con lo cual seguramente se dilata al ser calentado."
16/07/2022 1:47:12,,34,Mujer,Artesana,Universitario de grado incompleto,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,c) Franklin era una gran cristalógrafa,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 1:55:42,,24,Mujer,Estudiante y profesora particular ,Universitario de grado incompleto,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,e) Cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 2:29:55,,34,Mujer,Docente,Posgrado incompleto,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",b) Porque Franklin era una gran cristalógrafa,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 2:43:20,,19,Mujer,Estudiante ,Universitario de grado incompleto,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 5:00:01,,29,Varón,doctorando,Posgrado incompleto,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 6:12:45,,41,Mujer,Comerciante ,Secundario completo,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,a) Este veneno debería ser prohibido.,Así que tenemos que tratar de comer variado.,El hierro se dilata al ser calentado
16/07/2022 7:39:39,,44,Varón,Profesor universitario ,Posgrado completo,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Nuestra alimentación y la actividad física son muy importantes.,El hierro es un metal
16/07/2022 7:53:16,,30,Varón,Arquitecto,Universitario de grado completo,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 8:36:14,,25,Varón,Estudiante ,Universitario de grado incompleto,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 8:43:40,,29,Mujer,Docente ,Terciario incompleto,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 8:55:03,,37,Varón,artista,Universitario de grado completo,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 9:03:23,,38,Varón,Docente universitario ,Posgrado incompleto,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 9:07:03,,48,Mujer,Trabajo en consultoria y doy clases de posgrado,Posgrado completo,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes.,El hierro se dilata al ser calentado
16/07/2022 9:09:01,,40,Mujer,Ingeniera,Posgrado completo,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 9:14:12,,30,Mujer,Investigador,Universitario de grado completo,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 9:25:48,,41,Varón,Gerente,Universitario de grado completo,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 9:26:51,,39,Mujer,Profesora y redactora,Posgrado incompleto,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,e) Colón buscaba una nueva vía hacia las Indias,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 9:34:34,,51,Varón,Gerente organismo del Estado,Posgrado completo,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,e) Colón buscaba una nueva vía hacia las Indias,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,b) Cientos de personas en todo el mundo murieron.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro es un metal al igual que el cobre y la plata
16/07/2022 9:34:43,,32,Mujer,Diseñadora gráfica,Universitario de grado completo,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",b) Porque Franklin era una gran cristalógrafa,a) Newton pudo hacer descubrimientos espectaculares,e) Tenemos la obligación de decir esto.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 9:46:49,,51,Mujer,Biologa,Posgrado completo,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,b) Cientos de personas en todo el mundo murieron.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro es un metal al igual que el cobre y la plata
16/07/2022 9:47:55,,30,Mujer,Bioquimica ,Posgrado incompleto,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 9:51:52,,53,Varón,Investigador en seguridad informática,Posgrado completo,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Tratar de comer variado y hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 9:55:24,,35,Mujer,Traductora,Universitario de grado completo,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tratar de comer variado y hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 9:58:34,,59,Varón,Escritor ,Posgrado completo,No es un argumento,Es un argumento,,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,c) Se les inoculó el veneno experimental de Soros y Bill Gates.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 10:02:44,,41,Mujer,,Universitario de grado completo,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Tenemos que tratar de comer variado y de hacer mucho deporte.,
16/07/2022 10:10:17,,44,Mujer,Socióloga,Posgrado completo,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 10:12:30,,37,Varón,Profesor de secundaria,Terciario completo,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 10:13:19,,39,Mujer,Empleada publica,Posgrado incompleto,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 10:19:07,,37,Varón,Trabajo bajo dependencia ,Universitario de grado incompleto,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,b) Cientos de personas en todo el mundo murieron.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro es un metal
16/07/2022 10:22:06,,33,Mujer,Administrativa,Universitario de grado incompleto,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Así que tenemos que tratar de comer variado.,El hierro se dilata al ser calentado
16/07/2022 10:23:24,,57,Varón,Gastronomico,Primario completo,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,d) Porque Newton pudo hacer descubrimientos espectaculares,e) Tenemos la obligación de decir esto.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 10:27:00,,40,Mujer,Profe de yoga,Terciario completo,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,c) Se les inoculó el veneno experimental de Soros y Bill Gates.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro es un elemento abundante en la corteza terrestre
16/07/2022 10:33:42,,55,Mujer,Empleada en casas particulares.,Terciario completo,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Tratar de comer variado y hacer mucho deporte.,El hierro es un metal al igual que el cobre y la plata
16/07/2022 10:54:58,,34,Mujer,Abogada,Posgrado incompleto,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,a) Porque Colón buscaba una nueva vía hacia las Indias,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Tratar de comer variado y hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 10:55:43,,33,Mujer,Docente. Abogada,Universitario de grado completo,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,c) Franklin era una gran cristalógrafa,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,a) Este veneno debería ser prohibido.,Tratar de comer variado y hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 11:24:28,,32,Mujer,Marketing,Universitario de grado completo,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 11:39:56,,48,Mujer,Analista de normas ,Posgrado completo,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
16/07/2022 11:41:21,,31,Mujer,Psicóloga,Universitario de grado completo,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",c) Franklin era una gran cristalógrafa,a) Newton pudo hacer descubrimientos espectaculares,e) Tenemos la obligación de decir esto.,Así que tenemos que tratar de comer variado.,El hierro es un elemento abundante en la corteza terrestre
16/07/2022 11:41:21,,28,Mujer,Diseñadora gráfica ,Universitario de grado completo,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
16/07/2022 11:41:29,,68,Mujer,Docente,Posgrado completo,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
